STT,T1,T1_clean,phanlopt1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,TBM1,TBM2,TBM3,XL1,XL2,XL3,US_TBM1,US_TBM2,US_TBM3,KQXT,MEDIAN,1,2,3,MEDIAN,1,2,3,MEDIAN,1,2,3
58,7.2,7.2,,7.6,6.6,6.6,5,7.1,6.8,9.3,7.3,7,8.2,8.2,5.5,6.9,8.1,8.4,7.5,7.8,8.6,6.5,5.5,7.4,7.8,8.7,7.6,7.6,8.8,7.6,4.8,7,5.8,8.7,7.8,6.6,8.1,5.9,5.6,5.8,7.3,8.1,6.4,8.9,7.8,6.7,4.2,6.6,6.8,7.9,F,0,1,2,5.5,5,A1,6.84,7.24,6.59,K,K,K,2.736,2.896,2.636,0,,,,,,,,,,,,
57,6.3,6.3,,6.9,6.9,6.9,6.8,6.2,7.6,6.7,7,7.7,6.9,8.5,6.2,6.5,6.8,6.3,5.5,6.8,5.7,7.1,6.6,8.6,7.7,5.9,6.3,7.7,6.3,7.4,7.3,8.1,6.5,7,8.5,7.1,7.3,6.6,7.2,7,6.9,7.1,8.7,7,6.6,7.4,7.4,7,6.9,6.7,F,0,1,6,5.5,5,A,6.74,6.91,7.38,K,K,K,2.696,2.764,2.952,1,,,,,,,,,,,,
86,7.2,7.2,,6.6,6.8,6.7,7.1,6.4,7.2,6,7.9,8.1,6.6,7.5,7.8,7.4,7.6,7.1,7.3,6.8,5.7,7.6,6.6,8.4,7.4,5.1,8.4,8.1,6.4,8.8,6.3,8.3,7.7,6.5,7.8,7.1,8.5,6.5,7.3,7,7.8,5.2,6.9,6.9,7.1,7.3,7,8.1,6.4,6,F,0,2NT,3.75,5.75,4.75,B,6.83,7.57,6.96,K,K,K,2.732,3.028,2.784,1,,,,,,,,,,,,
83,5.1,5.1,,5.9,5.9,4.5,6.2,5.3,6.5,4.7,5,6.1,6.9,9.5,6.8,7,7.1,4.8,7.4,6.7,7.1,8.1,6.5,8.1,7.6,5.4,6,8.1,6.1,8.5,6.7,7,8.1,5.3,6.8,5.9,7.5,6.3,7.1,6.1,6.8,6.1,7.3,5.4,7.8,7.5,7.4,7.3,7.5,6.3,F,0,1,3.25,6,4.25,B,5.54,6.5,7.12,TB,K,K,2.216,2.6,2.848,0,,,,,,,,,,,,
7,2.8,2.8,,3.9,5.5,6.9,5,7.3,4.6,5.2,4.4,6.7,5.5,7.7,5,6.6,6.1,4.6,4.6,4.8,4.4,8.1,5.6,6,4.8,3.9,4.7,6.3,4.8,7.1,6.8,7.7,6.6,5.6,5.4,4.5,5,5,5.9,6.1,6.1,4.8,5.3,7,6,5.7,6.1,6.6,6,6,F,0,2,6.5,6.75,5.25,C,4.9,5.6,6.01,Y,TB,TB,1.96,2.24,2.404,1,,,,,,,,,,,,
95,5.8,5.8,,5.9,7.6,6.1,5.3,8.1,6.1,5,6.4,7.2,7.7,7.5,5.3,8.4,6.8,6.1,7.3,7,7.9,7.3,5.7,8.6,6.8,5.1,7.1,7.3,8.4,7.3,5.7,8.7,7,5.6,7.3,6.8,6.5,8,5.9,5.3,7.4,6.5,6.7,8.1,7.1,6.8,6,7.3,6.8,5.3,M,0,1,4.25,2.5,4.75,A,6.1,6.71,6.68,TB,K,K,2.44,2.684,2.672,0,,,,,,,,,,,,
100,4.1,4.1,,5.2,4.9,5.3,5.5,5.4,7.2,5.4,4.4,6.4,4.8,7.2,6,6.3,6.8,4.9,6,4.9,4.2,6.4,5.7,6.8,7.1,6.2,4.3,4.9,5.3,6.5,5.7,6.8,7.4,5.8,5.6,6.2,6,4.7,5.7,7.9,6.9,4.7,5.1,6.4,5.9,5.4,6.3,5.6,6.6,5.8,M,0,2NT,5.25,2.5,4.25,C,5.26,5.72,5.85,TB,TB,TB,2.104,2.288,2.34,0,,,,,,,,,,,,
63,6.4,6.4,,7.2,8.1,8.5,6.2,8.8,7.9,5.6,5.9,7.6,8,8,7.4,6.7,7.8,7.8,6.5,6.3,6.4,6.9,7,6.7,8.1,7,7.6,6.5,7,7.4,7.1,7.4,7.8,7.7,6.8,7.7,6.8,6.8,6.5,7.7,7.6,7.6,7.5,7.3,7,7,7.2,8.8,6.6,6.4,M,0,1,4.25,2.75,3.25,A,7.13,7.25,7.25,K,K,K,2.852,2.9,2.9,0,,,,,,,,,,,,
39,4.4,4.4,,5.6,5.2,6.4,5.9,6.7,7.2,4.3,4.4,2.4,7.5,7.1,5.7,5.1,5.6,4.9,5.1,5,6.8,4.9,3.8,6.4,5.6,4.5,5.6,5.5,7.2,5.5,4.5,6,6.2,3.8,5.8,3.5,5.5,5.8,4.7,6.6,6.8,3.9,5.8,4,7,5.5,5.2,6.5,6.6,4.2,M,0,1,2,3,5.25,A,5.6,5.28,5.58,TB,TB,TB,2.24,2.112,2.232,0,,,,,,,,,,,,
16,2.5,2.5,,5.3,4.9,8.2,6.9,6,6.7,5,6.2,3.8,4.7,8.6,7.5,6.3,8,5.6,6.5,5.9,5.7,6.4,7.2,6.1,7.6,4.8,7.3,5.5,5.4,5.2,7,7.7,8.1,6.9,3.4,5.3,4.6,5,7.4,5.6,6.8,5,5.3,6,6,6.2,7.2,7.1,6.8,5,M,0,1,3.75,3,6.5,D1,5.49,6.44,6.21,TB,TB,TB,2.196,2.576,2.484,0,,,,,,,,,,,,
64,7.5,7.5,,7.6,7.8,7.9,5.7,8.1,5.8,6.2,7.6,6.8,8.7,7.9,5.7,8.8,8.4,6.1,6.8,6.9,7.2,9,5.7,9.2,7.6,5.4,6.8,7.8,7.7,7.8,5.9,8.9,7.5,5.4,8,6.4,6.4,7.1,5.7,8.6,7.2,6.7,6.6,8.1,6.7,6.4,6,7.2,7.3,6.6,M,0,1,2.25,3.5,5,A,6.98,7.33,6.75,K,K,K,2.792,2.932,2.7,0,,,,,,,,,,,,
61,6.2,6.2,,7.8,7.8,8,5.1,7.4,5.8,5.4,5,6.6,7.5,8.2,6.1,7.8,8.4,5.5,6.7,5.7,6.1,7.7,4.7,8.9,6.1,5.3,6.6,4.9,7.6,8.3,5.5,8.3,9.2,5.5,7.2,5.9,8.2,6,5.8,5,6.4,5.9,7.6,7,8.2,5.9,5.7,8,6.6,6.5,M,0,1,2.5,3.5,6.5,A,6.48,6.62,6.88,TB,K,K,2.592,2.648,2.752,0,,,,,,,,,,,,
37,7.3,7.3,,4.8,4.9,4.6,4,5.1,5.8,3.4,7.5,5.8,3.1,8.8,4.9,8.5,7.1,3.8,8,6.3,4.8,6.8,4.7,6.8,7.6,3.3,7.7,5.4,6.2,7.5,5.3,7.9,7.8,5.7,7.8,4.6,5,6,4.3,4.6,6.6,4.8,8.1,6,7.1,7.1,4.7,8.3,6.9,5,M,0,1,4.25,3.5,2.75,A,5.12,6.19,6.6,TB,TB,K,2.048,2.476,2.64,0,,,,,,,,,,,,
76,5.5,5.5,,4,4.3,5.6,3.3,5.9,2.8,3.4,6,4.3,3.2,4.5,3.7,4.9,4.7,3.2,2.9,2.8,3.5,4.1,4.1,3.5,5.1,4.8,4.2,3.6,3.5,6.3,5.2,6.6,5.4,4.6,5.5,5,3.9,5.1,4.2,5.4,4.9,3.7,4,4.4,4.7,6.1,4.1,7.6,5.4,3.5,M,0,1,4.75,3.5,3.25,A,4.36,4.42,4.79,Y,Y,Y,1.744,1.768,1.916,0,,,,,,,,,,,,
99,2.7,2.7,,1.8,3.4,5.3,4.5,7.9,4.9,3.8,2.8,5.7,5.1,5,5.5,6.6,3.9,4.3,6.2,6.9,7.6,6.3,4.7,7.4,5.9,5.7,5.2,5.1,6.8,5.6,3.8,5.9,6.7,4.4,4.1,5.3,5.7,4.6,5,5.9,5.3,4.5,4.3,5.6,6.3,4.7,5,6.6,5.2,5.9,M,0,1,5,3.5,5.5,C,4.15,4.72,5.29,Y,Y,TB,1.66,1.888,2.116,0,,,,,,,,,,,,
66,3,3,,4,3.8,6.6,5.4,5.4,4,5.3,3.5,3.8,4.3,5.3,4.7,8.4,5.4,4.5,3.8,6.5,4,6,3.8,8.7,6.8,3.3,5.5,5.3,4.7,6.3,5.8,8.1,6.6,5.6,5,4.8,5.3,5.6,5.1,6.6,8.2,3.8,5.1,6.3,4.9,6,5.8,8.3,6.8,4.7,M,0,1,2,3.75,4.75,A,4.59,4.81,5.88,Y,Y,TB,1.836,1.924,2.352,0,,,,,,,,,,,,
70,6,6,,5.9,6,5.3,4.8,7.1,5.8,5.2,6.2,5.6,7.7,7.2,5.5,5.9,6.6,7.3,5.1,4.4,5.4,6.9,4.8,4,4.5,4.8,5.1,4.2,5.3,5.2,6,5.4,6.5,5.3,3.5,3.3,4.8,4.3,4.8,5.9,4.6,4,5.6,7.3,5,6.2,5.4,6.7,4.4,4.9,M,0,1,2.25,3.75,6.25,B,5.69,6.37,5.65,TB,TB,TB,2.276,2.548,2.26,0,,,,,,,,,,,,
30,4.5,4.5,,3.8,4.8,5.9,4.3,6.2,5.2,6.1,5.5,5.8,5.1,6.7,4.7,6.1,5.8,5.3,6.8,6.5,5.4,5.4,5,6,6.1,7,5.6,7.1,5.7,6.3,5.6,5.1,6.4,7,5.3,4.8,4.5,4,3.9,3.3,4.4,5.4,6.1,5.2,5,5.3,5,6.2,5.5,6.1,M,0,1,2.75,3.75,5,D1,4.96,5.52,5.55,Y,TB,TB,1.984,2.208,2.22,0,,,,,,,,,,,,
65,7.1,7.1,,6.2,8.4,7.3,6.4,6.7,8.5,4.9,6.9,6.5,8.2,7.3,6.5,8.1,7.6,6.1,8.1,7.4,8.3,8,6.7,8.4,8.8,5.5,7.2,8,7,7.6,7.1,8.6,7.6,6.1,6.9,8,8.7,6.3,5.7,8.6,7.4,4.7,7.4,6.7,7.4,5.4,6.7,9.1,7.1,5.4,M,6,2,4.25,3.75,6,A,6.9,7.06,6.93,K,K,K,2.76,2.824,2.772,0,,,,,,,,,,,,
6,9.3,9.3,,7.6,7.9,8.6,7,7.3,7.7,7.9,9.6,7.8,8,8.7,7.7,8,9.2,9.1,7.1,8.5,8.1,8.7,7.2,8.4,7.7,8.2,8.5,8.5,7.7,9.2,8,6.6,7.3,8.8,8.5,7.6,8.1,9,8.4,6.6,6.6,8.2,7.8,6.4,7.2,7.7,7.7,5.7,8,7.8,M,0,1,1.5,4,6,D1,7.96,8.54,7.38,K,G,K,3.184,3.416,2.952,0,,,,,,,,,,,,
88,7.3,7.3,,4.3,5.3,5.8,4.9,3.7,5.6,5.3,5.9,6,6.3,5.9,5,6.6,6.6,4.6,7.1,6.3,7.3,6.7,6.5,5.4,6.7,5.5,7.7,5.4,7.5,7.1,6.8,5.8,6.8,6.5,7.9,5.9,5.9,5.9,5.7,6.1,6.8,6.7,6.6,6.4,6.9,5.7,6.4,6.4,7.2,6.2,M,0,1,1.75,4,4.5,A,5.44,5.78,6.48,TB,TB,TB,2.176,2.312,2.592,0,,,,,,,,,,,,
34,6.4,6.4,,4.6,6.4,5.9,5.7,7.2,6.9,2.9,4.5,4.4,6.2,5.3,5.1,6.4,4.6,4,8,7.7,7.3,6.3,5.3,5.9,5.7,5.8,8.5,6.6,5.9,4.6,4.4,6.6,5.1,5.5,7.7,5.4,6.2,6.4,4.5,5.3,5.9,3.1,6,6.8,7,5,4.9,4.9,6.4,4.4,M,0,1,2.25,4,4.25,A,5.81,5.01,5.63,TB,TB,TB,2.324,2.004,2.252,0,,,,,,,,,,,,
40,4.3,4.3,,5,4.8,1.9,3.1,6.1,7.5,3.8,5.3,6.6,6.8,5.8,4,7.4,6.2,4.3,7.3,6.4,6.3,7.3,4.5,6.4,6.3,5.2,7.7,5.5,6.3,6.1,4.3,6.4,6.6,5.3,7.4,5.1,6.8,7.6,5.6,6.6,6.6,5.5,7.1,6.2,7.3,7,6.9,7.6,6.2,5,M,0,1,2.75,4,4,A1,4.39,5.57,6.73,Y,TB,K,1.756,2.228,2.692,0,,,,,,,,,,,,
60,3.6,3.6,,4.6,5,6.9,5.2,4.5,5.8,7.3,3.5,4.1,3.4,7.3,5.5,6,5.6,7.5,4.2,3.4,3.4,6.6,4.7,6.3,4.8,7.5,3.2,5.9,3.6,8.2,5.9,6.8,6.3,7.7,4.4,2.6,4.9,5.7,5.6,6.1,4.8,7.4,4.9,6.1,4.3,7,5.1,5.8,6.1,8.4,M,1,1,3,4,4,D1,5.17,5.19,5.77,TB,TB,TB,2.068,2.076,2.308,0,,,,,,,,,,,,
78,5.2,5.2,,3.6,3.8,7.1,5.3,4.8,6.4,4.5,6.8,5.5,5.3,6.4,5.3,6.7,6.8,6.2,6.5,4.7,5.3,6.4,4.7,6.2,6.3,3.6,5.8,2.7,6.6,4,5.1,5.9,8,3.5,6.4,6.4,5.7,5.8,4.3,5.2,4.6,5.4,7.8,6.2,7.1,6.5,5.3,6.4,5.7,6.6,M,0,1,3.25,4,4,B,5.12,6.11,6.47,TB,TB,TB,2.048,2.444,2.588,0,,,,,,,,,,,,
89,5.2,5.2,,6,4.7,6.2,3.9,6.6,4.9,3.7,6.5,6.3,6.8,6.9,5.8,7.9,7,6.3,7.4,5.3,5.6,6.9,5,6.2,6.5,5.2,7.4,6,6.2,4.5,5.9,7.2,7,6.1,5.4,4.3,4.8,4.3,5.2,6.4,6.3,5.6,6.6,8,6.8,3.6,5,6.2,6,6.2,M,0,1,3.75,4,3.5,A,5.03,6.58,6,TB,K,TB,2.012,2.632,2.4,0,,,,,,,,,,,,
2,5.4,5.4,,3.9,3.9,4,5.4,5.4,5.3,2.8,6.3,5.4,3.2,7.2,5.4,6.1,4.7,4.7,4.3,3.8,3.7,3.7,5.2,6.6,5.8,4.4,4.9,2.8,5.1,4.5,5.6,7,7.6,4.7,3,4.6,4.4,4.9,4.3,6.3,6.7,4.4,4,5.4,4,5.2,5.5,6.6,6.1,4.4,M,0,1,6,4,3.5,C,4.69,5.47,5.07,Y,TB,TB,1.876,2.188,2.028,0,,,,,,,,,,,,
91,8.1,8.1,,7.7,9.1,8.5,6.1,8.6,8.8,7.3,8.8,8.3,8.4,9.3,7.1,8.9,8.8,7.2,9.2,8.4,8.2,9,6.3,8.4,8.8,7.1,8.8,9.1,7.7,9.1,7,7.9,7.3,7.5,8.9,7.2,7.4,7.8,6.6,7.6,8.1,7.6,8.5,9.2,7.5,8.6,7.9,8.3,8.7,7.8,M,0,2,6.25,4,6.5,A,7.84,8.27,8.29,K,G,G,3.136,3.308,3.316,1,,,,,,,,,,,,
94,5.2,5.2,,5.2,6.8,7.9,6.6,8.9,7.6,5.3,6.8,5.8,5.8,8.9,7,8.8,8.6,5.7,6.7,6,5.5,7.3,6.9,9.1,8.6,5.1,6.6,6.7,7.9,7.7,6.9,8.7,7.6,6.7,7.3,5.4,5.7,6.8,6.3,7.4,7.5,5.4,7.3,6.5,6.7,5.8,7.3,8.7,7.8,5,M,0,1,3.5,4.25,5,A,6.53,7.12,6.97,K,K,K,2.612,2.848,2.788,0,,,,,,,,,,,,
4,6.6,6.6,,6.4,5.3,6.9,5.4,7.3,6.4,5.8,5.1,6.2,5.5,5.5,4.4,6.5,4.9,4.4,5.9,7.3,5.9,4.9,5.7,6.8,6.8,5.4,4.1,4.4,4.1,7.3,5.3,7.1,7.3,5.6,6.1,4.9,5.3,4,6.2,5.5,5.9,6.5,7.4,5.6,6.6,6.8,6.6,7.1,7.3,7.4,M,0,1,4.25,4.25,5.25,D1,6.21,5.2,6.88,TB,TB,K,2.484,2.08,2.752,0,,,,,,,,,,,,
73,5.5,5.5,,6.6,7.2,7.6,5.5,6.7,6.7,5.2,6,6.8,6.3,7.2,4.9,4.8,6.6,5.3,4.6,5.5,5.5,7.1,5.2,6.1,7.1,5.4,5.2,4.7,5.8,6.3,5.7,5.6,5.2,5.3,5.2,5.5,6.3,6.6,6.1,6.5,5.3,5.2,6.1,6.2,7.3,7.8,5.5,5.9,6.3,5.5,M,0,1,1.5,4.5,5.5,A,6.2,5.88,6.22,TB,TB,TB,2.48,2.352,2.488,0,,,,,,,,,,,,
35,4.7,4.7,,7.2,7.4,7.6,6.3,7.7,4.9,4.7,6.2,5.4,7,6.6,5.5,6.5,8.1,4.9,4.3,5.3,5.2,7.3,6.2,5.6,7.2,6.4,5.3,5.1,8.4,7.2,6.5,7.1,8.4,6.3,6.4,5.6,6.7,6.1,7,5.3,5.6,4.7,7,5.5,7,7,7.6,5.3,6.8,4.3,M,0,2NT,2.5,4.5,4.5,A,6.15,6.19,6.51,TB,TB,K,2.46,2.476,2.604,0,,,,,,,,,,,,
82,5.7,5.7,,5,4.7,5.7,4.7,5.5,5.2,4.2,3.9,5.9,4.7,5.3,4.8,6,4.6,4.7,5.7,5.9,4.5,5.9,4.8,3.7,6.3,5.2,4.6,4.4,4.7,6.1,5,5.3,4.9,5.4,6.8,6.1,4.6,5.8,5.3,5.1,4.8,5,7.3,7.5,5,6.4,6.2,5.4,5.4,6.5,M,0,1,2.5,4.5,4.25,A,5.11,4.86,6.32,TB,Y,TB,2.044,1.944,2.528,0,,,,,,,,,,,,
79,5.3,5.3,,4.3,5.9,7.7,6.8,6.9,7,5.6,5.2,5,6.4,6.1,5.8,7.6,6.1,3.9,5,5.5,4.4,7.6,6.1,6,6,4.9,3.5,5.2,5.4,6.9,6.2,5.2,5.7,4.5,5.2,5.7,4.7,4.9,5,5.2,5.6,7.6,5.2,5.5,5.4,5.6,4.7,4.5,5.6,6,M,0,1,3.5,4.5,4.25,B,6.16,5.71,5.24,TB,TB,TB,2.464,2.284,2.096,0,,,,,,,,,,,,
67,5.1,5.1,,3.7,4.7,5.5,5.1,4.5,5.8,2.8,5.3,4.2,5.1,6.5,5.6,7.1,6.4,4.1,4.7,5.2,4.3,5,5.4,5,5.9,3.6,5.6,4.6,4.2,5.3,5.2,6.1,6,4.3,6.2,5.4,5,4.9,4.7,4.6,6.3,4.5,5.9,6.9,6.4,4.6,5.8,6.3,6.1,4.6,M,0,2NT,4,4.5,3.25,A,4.74,5.52,5.83,Y,TB,TB,1.896,2.208,2.332,0,,,,,,,,,,,,
5,6,6,,5,6,7.3,6.5,7.7,7.9,6.1,5.4,5.5,5.9,7.5,6.5,6.9,7.6,6.4,7.6,7.6,6.7,6.6,5.7,7.9,7.4,7.3,4.4,6.5,5.6,8.3,6.2,4.9,8.6,7.7,6.8,5.4,4.7,5,5.1,7,7,6.3,8,6.2,6.8,6.9,6.6,6.1,7.5,7.2,M,0,2NT,4.25,4.5,5,A,6.5,6.36,6.99,K,TB,K,2.6,2.544,2.796,0,,,,,,,,,,,,
18,5.4,5.4,,6,4.9,5.5,4.2,7.3,5.3,4.9,4.8,6.4,6.3,6.9,5.3,9.2,7.3,5.3,5.5,7.1,7.5,7.8,4.7,9.4,8.6,6.3,5.5,6,7.2,7.9,5,9.1,8.8,6.5,7.5,6.2,7.8,7.2,5,7.9,6.4,5.3,7.3,7.3,7.1,6.4,5.9,9.4,6.4,5.5,M,0,1,4.25,4.5,5,A,5.31,6.16,6.85,TB,TB,K,2.124,2.464,2.74,0,,,,,,,,,,,,
68,4.6,4.6,,4.9,5.3,5.7,4.5,5,7.3,2.8,7.2,6.5,4.9,6.3,4,6.5,7.5,3.8,7.6,4.9,5.1,5.1,4.6,5.3,6.7,4.1,6.2,5.8,6.7,6.9,5.7,5.8,7.1,4.2,8,4.3,7.7,7.4,4.7,4.5,6.6,5.3,7.2,5,8,6.3,5.5,5.7,5.8,4.6,M,0,1,4.5,4.5,5.5,B,4.92,5.79,6.08,Y,TB,TB,1.968,2.316,2.432,0,,,,,,,,,,,,
85,8.4,8.4,,7.4,6,7.8,6.3,7.2,8.5,6,9.3,7,8.5,8.8,6.9,6.9,7.3,6.8,7.4,7,8,7.5,7.1,6.7,8.4,5.8,7.7,6.7,8.2,7.5,7.5,6.1,8.1,6.5,8.2,5.9,7.9,8.6,6.1,5.1,7.2,6.1,8.6,7.8,8.9,8.5,6.7,5.5,7.9,6.6,M,0,1,6.5,4.5,8,A,7.23,7.77,7.58,K,K,K,2.892,3.108,3.032,1,,,,,,,,,,,,
87,6.3,6.3,,6.5,8.1,7.7,6.7,5.4,7,5.4,6.3,6.7,6.9,7.4,6.6,5.6,7.1,5.7,5.2,7.7,6,7.8,7.6,5.8,6.2,5.6,6.1,7,7.2,7.2,7.3,6,7.1,5.5,6,7.3,8,5.8,6.6,7.3,7.2,4.7,5.7,7.9,6.9,6,7.4,6.9,6.6,5.2,M,0,2NT,2,4.75,6.5,A,6.61,6.52,6.57,K,K,K,2.644,2.608,2.628,0,,,,,,,,,,,,
19,5.6,5.6,,4.8,7.3,3.9,5.5,6,6.1,4.8,5.5,4.9,5,6.3,5.8,6.1,6.8,4.8,4.8,8.8,5.4,7,6.7,5.8,7.7,4.9,6.1,7.4,6.5,7.2,7.7,5,7.6,6,6.6,6.8,6.6,6.7,6.1,5.6,6.3,5,8.5,7.7,6.7,6.6,5.7,6.4,6.3,5.8,M,0,1,3.25,4.75,3.5,A,5.51,5.65,6.79,TB,TB,K,2.204,2.26,2.716,0,,,,,,,,,,,,
32,2.6,2.6,,4.6,4.6,3.6,4.2,5.4,5.2,4.5,3.8,6.1,6.3,8.1,4.5,7.2,5.6,4.5,5.9,6.4,6.4,7.7,4.9,7.1,7.8,5.3,6.8,7.7,7.2,6.4,6.3,8.1,8,6.7,6.3,6.1,7.6,4.1,5.5,6.2,6.3,5.1,8,7.3,7.3,7.4,5.8,9,6.7,6.7,M,0,1,4.5,4.75,5.5,A,4.15,5.44,7.2,Y,TB,K,1.66,2.176,2.88,0,,,,,,,,,,,,
92,7.8,7.8,,6.5,6.7,5.4,6.2,4.8,5.9,4.4,8.9,6.9,6.2,7.5,6.2,4.4,6.4,4.7,8.5,8,5.2,6.7,5.6,6,6.9,6.7,7.8,7.4,5,6.4,6.4,6.1,6.6,5.9,8.6,7.6,6.5,6.6,5.1,6.4,6.4,5.5,9.4,8.2,7.1,8.2,6.3,7.2,7.4,7,M,0,2NT,4.75,4.75,4.5,A,6.17,6.63,7.65,TB,K,K,2.468,2.652,3.06,0,,,,,,,,,,,,
36,6.5,6.5,,4.4,6.5,5.7,6.4,6.9,4,4.6,5.3,5.1,5.1,5.9,6.3,6.5,4.7,5.3,6.1,4.7,4.7,7,6,5.9,7.3,5.7,5.7,4.3,4.1,6.7,5.9,5.4,6.7,5.8,7.1,5.9,6.7,5.2,5.9,5.5,4.7,5.6,6.9,5.7,7,6.6,6.4,5.8,6,5.5,M,0,2,2.5,5,5,A,5.79,5.58,6.32,TB,TB,TB,2.316,2.232,2.528,0,,,,,,,,,,,,
21,3.9,3.9,,3.9,6,6.7,6.1,4.8,6.3,5.2,5.6,5.1,6.2,7,6.2,6.3,6.6,4.5,6.3,5.2,6.6,6.6,6,7.3,6.4,6.8,6.9,6.7,7,8,6.8,6.4,6.9,5.2,9.3,6.6,7.5,5.6,6.3,6,7.1,5.5,8.4,7.8,6.6,7.7,6.2,6.4,6.1,6.7,M,0,1,2.75,5,4.25,A,5.29,5.93,7.05,TB,TB,K,2.116,2.372,2.82,0,,,,,,,,,,,,
38,3.4,3.4,,4.2,3.7,4.4,6.1,4.6,4.7,4.4,4.4,5.9,4.8,5.4,5,6.7,5.7,5.3,5.8,4.8,4.4,5.6,5.2,5.8,5.1,5.7,3,3.8,3.9,5.9,5.1,5.3,5.8,6.5,3.2,6.1,6.6,5.1,5.7,4.4,5.3,6.3,3.7,6.7,6.8,6.6,5.8,5.9,4.7,5.8,M,0,2,2.25,5.25,4.5,A,4.5,5.26,5.55,Y,TB,TB,1.8,2.104,2.22,0,,,,,,,,,,,,
59,6.5,6.5,,5.8,7.4,7.7,7.2,7.5,6.5,4.6,8.3,7.4,6.8,8.2,7.7,7.8,6.8,6,8.3,5.7,8.4,8.3,7.3,7.1,6.1,8,7.1,5.7,5.7,7.9,7,8.6,7,8.4,5.8,6.6,6.9,5.9,6,7,7.2,7.7,7.9,7.8,7.7,7.8,7,9.1,8.1,8.5,M,0,2NT,2.25,5.25,6,A,6.69,7.5,7.88,K,K,K,2.676,3,3.152,0,,,,,,,,,,,,
